cls_loss,mmd_loss,epoch,mean_val_f1
0.4825723786543832,0.529358238236517,0,0.8895865904184975
0.224502683760455,0.4896477721313126,1,0.9280046289848829
0.1881272107657268,0.5003988072912917,2,0.9337431989088781
0.12739252352203506,0.4748162909960135,3,0.8901073065003974
0.11863767897534089,0.48501628764674193,4,0.9422957392355377
0.10431612169573533,0.4972467132103749,5,0.9218360519997152
0.08912510327724556,0.47038769900289357,6,0.9485446775236803
0.08482906166088477,0.4720604920234436,7,0.9428297017910524
0.06596923307202254,0.46864108212737954,8,0.9435044885876005
0.058063701673201386,0.4685106838488171,9,0.9408186242709187
0.06096812847138989,0.4682372190121912,10,0.9282379392398471
0.05692477059838139,0.4526786824576875,11,0.9402929140240213
