,dog,elephant,giraffe,guitar,horse,house,person
dog,432,98,46,0,52,0,144
elephant,129,534,10,0,5,0,62
giraffe,62,25,494,7,49,0,116
guitar,3,24,18,535,0,0,28
horse,134,42,95,0,452,2,91
house,0,3,2,0,0,73,2
person,6,3,3,0,0,0,148
