,dog,elephant,giraffe,guitar,horse,house,person
dog,357,263,56,0,87,0,9
elephant,24,710,4,0,2,0,0
giraffe,48,88,523,1,93,0,0
guitar,0,60,18,530,0,0,0
horse,68,144,48,0,556,0,0
house,0,8,1,0,0,71,0
person,5,67,51,0,5,1,31
