,dog,elephant,giraffe,guitar,horse,house,person
dog,348,65,12,26,149,1,171
elephant,42,428,1,21,49,1,198
giraffe,74,20,274,132,157,0,96
guitar,0,5,0,596,0,0,7
horse,69,27,15,50,575,0,80
house,0,1,1,9,0,69,0
person,4,5,2,17,0,0,132
