method,photo_val_acc,photo_val_f1,art_painting_val_acc,art_painting_val_f1,cartoon_val_acc,cartoon_val_f1,mean_source_acc,worst_source_acc,mean_source_f1,worst_source_f1,sketch_acc,sketch_f1,source_domain_separability,sharpness,sketch_acc_change
erm,0.9699699878692627,0.9656368523963588,0.9487804770469666,0.9447446674305217,0.9530916810035706,0.9563826690960529,0.9572807153066,0.9487804770469666,0.9555880629743111,0.9447446674305217,0.6164418458938599,0.6307233823622782,0.86,0.3209390342235565,0.0
dan_dg,0.9819819927215576,0.9781605062155837,0.9146341681480408,0.9126926083134331,0.9488272666931152,0.954780918042024,0.9484811425209045,0.9146341681480408,0.9485446775236803,0.9126926083134331,0.7070501446723938,0.6929508318159423,0.7266666666666667,0.334228515625,0.09060829877853394
sam,0.9789789915084839,0.9753107701302893,0.9560975432395935,0.9534626566080127,0.9658848643302917,0.9684396036473627,0.966987133026123,0.9560975432395935,0.9657376767952215,0.9534626566080127,0.6790531873703003,0.7012175974498982,0.82,0.11011563241481781,0.06261134147644043
