cls_loss,epoch,mean_val_f1
1.141016282268569,0,0.8644686592167882
0.3240610214953239,1,0.9195746678897074
0.18305714970502335,2,0.9317852722218132
0.12114076828584075,3,0.9539327483965766
0.09381347616863811,4,0.9493965262261979
0.0745264874297616,5,0.947337779162448
0.05479889924381263,6,0.9549558751938464
0.04137250769591858,7,0.9607430532204116
0.03831606241501271,8,0.9605947260357403
0.023171929096612524,9,0.961134591562002
0.02291525013182157,10,0.9570857753025289
0.017086600326349895,11,0.9657376767952215
0.016171051845134586,12,0.955275935655124
0.013846236574933685,13,0.9446205665170524
0.009290291289553896,14,0.9505241527531233
0.012470999947098844,15,0.9431728467454942
0.00890455640935534,16,0.9524932047154132
