cls_loss,epoch,mean_val_f1
0.9956710545553101,0,0.880359350534558
0.27996050254402,1,0.9341113904115163
0.1665906962644086,2,0.9330641016927504
0.11292640009146725,3,0.9476108529737722
0.0787984950047058,4,0.9540324170398048
0.07097939950708523,5,0.9432516141129629
0.04969770977379054,6,0.9470155335828986
0.03917043059954865,7,0.9575102592732372
0.034066631726852946,8,0.9621342123395739
0.029371182597441297,9,0.9557993330477416
0.02783495139800267,10,0.9533599567370437
0.017931067016255308,11,0.9680733471234344
0.016414939355737984,12,0.9634663667518888
0.01033991199080299,13,0.9642070920720004
0.008277478886374699,14,0.9627901267928065
0.010854558691354549,15,0.9600246111837422
0.007213888582423079,16,0.9480848656871289
