rho,mean_source_acc,sharpness,sketch_acc
0.01,0.9588044484456381,0.23370471596717834,0.6973784565925598
0.05,0.969597597916921,0.1465175747871399,0.7475184798240662
0.1,0.9548829396565756,0.11181335151195526,0.7154492139816284
