,erm,dan_dg,sam,dan_dg_delta,sam_delta,task2_source_only,task2_dan,task2_dann,task2_cdan
dog,0.45077720284461975,0.462435245513916,0.5595855116844177,0.011658042669296265,0.10880830883979797,0.4507772028446197,0.4844559729099273,0.0038860102649778,0.24870465695858
elephant,0.5783783793449402,0.9594594836235046,0.7216216325759888,0.38108110427856445,0.14324325323104858,0.5783783793449402,0.7391892075538635,0.2837837934494018,0.3459459543228149
giraffe,0.3638778328895569,0.6945551037788391,0.6560425162315369,0.3306772708892822,0.29216468334198,0.3638778328895569,0.5351925492286682,0.0996015965938568,0.0
guitar,0.9802631735801697,0.8717105388641357,0.8799341917037964,-0.10855263471603394,-0.10032898187637329,0.9802631735801696,0.8453947305679321,0.0,0.0
horse,0.7046568393707275,0.6813725233078003,0.5539215803146362,-0.023284316062927246,-0.1507352590560913,0.7046568393707275,0.7426470518112183,0.0245098043233156,0.0196078438311815
house,0.862500011920929,0.887499988079071,0.9125000238418579,0.02499997615814209,0.050000011920928955,0.862500011920929,1.0,0.0,0.0
person,0.824999988079071,0.19374999403953552,0.925000011920929,-0.6312499940395355,0.10000002384185791,0.824999988079071,0.0062500000931322,0.7437499761581421,0.25
