cls_loss,epoch,mean_val_f1
1.9397240219972072,0,0.061513663749065216
1.927087403770186,1,0.050716507041089376
1.89597559077108,2,0.13989984013106754
1.784419642554389,3,0.1363838104554571
1.57372307853821,4,0.4156650036312679
1.1825583982161987,5,0.5883766350505912
0.7521366092384371,6,0.8268097258206407
0.4261651951023656,7,0.910449817627136
0.3038630948489548,8,0.9155697067715889
0.20114897334804901,9,0.9347632646034979
0.1549973802593274,10,0.9416508129182777
0.11656758494070198,11,0.9434085014346945
0.09701777286190763,12,0.9413910031579542
0.0735418793375198,13,0.9477407115708157
0.05167113262543089,14,0.9489271058599029
0.04063992595507039,15,0.952560015211059
0.030765861411863524,16,0.9543848664354234
0.03276681822451512,17,0.9479130967866863
0.02220719872741775,18,0.9454253303243672
0.019469505795586105,19,0.9503489782896216
0.01502548710246069,20,0.9472015480143955
0.011512185021803085,21,0.945468522280402
