epoch,loss,data_loss,val_acc
0,0.2495567969850857,3.3129990006035026,0.9514
1,0.13497258748181842,2.222201406955719,0.9502
2,0.12218927778303623,2.0318175710060378,0.9486
3,0.12205584652044556,1.8989487813616341,0.9508
4,0.11502765292640436,1.3964493536305698,0.946
5,0.08240392117295414,0.6004904460331256,0.943
6,0.07100251877934417,0.5889943240062249,0.9386
7,0.09996992362324487,1.527191341357221,0.9432
8,0.06610264704266394,0.7150206904890101,0.9328
9,0.06031525358346037,0.4097904902618294,0.9156
10,0.05022653091212057,0.40393894854192197,0.9028
11,0.040140921308193356,0.19330597948812117,0.9342
12,0.041027310748838565,0.3925332673349079,0.9116
13,0.05216014592125165,0.6786086934100074,0.9464
14,0.04359236605126749,0.2307480769681702,0.9066
15,0.03706004720085978,0.23715261730301956,0.9038
16,0.03215717599960044,0.21975023804803973,0.9314
17,0.07594479296345856,1.4860409196831328,0.9486
18,0.03909373440546915,0.16746573243819346,0.8574
19,0.03286030260179276,0.21730187734514897,0.8368
20,0.029189028007253495,0.13515949827110904,0.8696
21,0.033522229654904964,0.3631342626864683,0.9356
22,0.09770842565392907,1.779171724224315,0.9232
23,0.03608894721467302,0.18114345182601194,0.9036
24,0.02892228202439252,0.1289341535911345,0.88
25,0.027945697646249424,0.14621095468067902,0.8842
26,0.02620000775575384,0.1365871854240223,0.9298
27,0.02489134556592696,0.06206726667005569,0.9014
28,0.020289728674635462,0.08586794537206349,0.8962
29,0.020596630921566182,0.11659928117693528,0.9064
30,0.019259143763602795,0.16836321404182605,0.8976
31,0.01766284246431579,0.06233898396947717,0.9052
32,0.01795950330746233,0.12307619114554572,0.9208
33,0.015640787333144213,0.04615260178318501,0.918
34,0.01746425522353754,0.11624434125075243,0.9096
35,0.0170699194396465,0.07647245574943637,0.9098
36,0.016691744279920716,0.03270170956966467,0.9112
37,0.01849337404101706,0.15081920333878687,0.895
38,0.015702305331201802,0.04624323930792426,0.9228
39,0.01654109368444717,0.018647747552181085,0.9064
40,0.014928623680713248,0.04170412473534022,0.9074
41,0.013821178094737908,0.011650246515108103,0.9166
42,0.014203182060472582,0.039870970403585074,0.903
43,0.013508907326137309,0.01347242323655254,0.9128
44,0.015611695543735881,0.05909666092404884,0.9216
45,0.016244983569115655,0.06929912775178143,0.9114
46,0.014445797369593161,0.026366361587530595,0.9188
47,0.014589717362965033,0.02771583223710133,0.914
48,0.014247896397137083,0.03279822596232407,0.9008
49,0.01437416847461877,0.025084173945784147,0.9086
