model,score,csa,near_auroc,far_auroc,all_auroc,threshold,test_acceptance_rate,near_acceptance_rate,far_acceptance_rate
vanilla,mls,0.9472000002861023,0.7961823124999999,0.90499875,0.8505905312500001,-5.890665531158447,0.9499,0.69375,0.4625
gcsc,mls,0.9510999917984009,0.8156492499999999,0.910099375,0.8628743125,-6.261416435241699,0.9467,0.64625,0.385
proser,mls,0.9416999816894531,0.7890356875,0.8755655000000001,0.8323005937500001,-3.692918062210083,0.9486,0.71375,0.55375
proser,placeholder,0.9416999816894531,0.7909368125,0.8954676250000001,0.84320221875,0.4488459527492523,0.9482,0.69625,0.47875
