epoch,loss,val_acc
0,2.1450984335758467,0.3684
1,1.6746086247942664,0.4612
2,1.386674565686421,0.5644
3,1.1477552484720945,0.6602
4,0.9826589465479959,0.6714
5,0.8573343955319036,0.758
6,0.7752161434089596,0.7108
7,0.7270362979986451,0.791
8,0.687466858716851,0.778
9,0.6604944780807603,0.765
10,0.6413832902908325,0.7798
11,0.6265093575824391,0.7834
12,0.6009412068365649,0.7238
13,0.5951862850819122,0.8138
14,0.57823827363212,0.7202
15,0.5739644036882303,0.774
16,0.5555688700723377,0.8554
17,0.5484078711068089,0.8158
18,0.538864669305357,0.8292
19,0.5224503555589102,0.7756
20,0.5162173073569482,0.8356
21,0.5127788072621281,0.8358
22,0.499874998730692,0.8554
23,0.4956164301627062,0.8222
24,0.48861580435186625,0.8072
25,0.47837930519811134,0.8606
26,0.47431792826815083,0.8328
27,0.46453523271801794,0.8558
28,0.470818750475618,0.8464
29,0.45555411152202974,0.8394
30,0.45608264800499787,0.8542
31,0.4479068791155111,0.8416
32,0.451130086556077,0.8386
33,0.43605021658268844,0.8812
34,0.43424953935159877,0.8376
35,0.4256958401846615,0.863
36,0.41709662516686047,0.87
37,0.4146910507485948,0.855
38,0.4060368856245821,0.8552
39,0.40315797594799235,0.8822
40,0.4008455124514347,0.867
41,0.38873294046656653,0.8674
42,0.37810017613016744,0.8416
43,0.37568705033680255,0.8618
44,0.37354071383279835,0.8754
45,0.3650171013379639,0.8624
46,0.3642753371122209,0.8844
47,0.35685356812212954,0.8894
48,0.34669949241321196,0.8682
49,0.3470900674265894,0.8716
50,0.3353559688072313,0.8762
51,0.33266765653917735,0.8742
52,0.3169107611121779,0.8956
53,0.3124676859429614,0.8604
54,0.3097202767279338,0.9084
55,0.30186665909026156,0.897
56,0.29798348019407556,0.9024
57,0.28642254741862416,0.8936
58,0.2858870633539151,0.9102
59,0.272153284273703,0.9032
60,0.26116071800193325,0.9084
61,0.26236946912567044,0.9058
62,0.25324576695195655,0.919
63,0.2404984891499308,0.91
64,0.2400469483215023,0.9154
65,0.22566274591636928,0.9068
66,0.21954057515937497,0.9054
67,0.20989750971255655,0.9094
68,0.20294859588400208,0.9262
69,0.19379808959043163,0.9258
70,0.1843636091798544,0.9256
71,0.17512603170788762,0.926
72,0.16923691992732612,0.9252
73,0.16145040378482503,0.9324
74,0.15413926681503654,0.9296
75,0.14502867743034253,0.94
76,0.1342249341118573,0.9372
77,0.12782265884082086,0.9364
78,0.12161423499822956,0.9376
79,0.11435192222283645,0.9434
80,0.10148709057301114,0.9496
81,0.09446251958566294,0.9386
82,0.08719665301826106,0.944
83,0.0795149047202854,0.9474
84,0.07161261934247291,0.9502
85,0.066724168148622,0.9508
86,0.06159486146696674,0.9486
87,0.057325696837241674,0.9532
88,0.050122731751550666,0.9544
89,0.04540358541866722,0.954
90,0.04715579536357175,0.9536
91,0.042121905800410205,0.9576
92,0.038899052336505105,0.9564
93,0.038386433116763576,0.955
94,0.03556938613077033,0.9566
95,0.034862893845208666,0.9558
96,0.033156795530389485,0.9562
97,0.03434307930927554,0.957
98,0.032359051879294304,0.9568
99,0.03367074799131264,0.957
