score,near_auroc,far_auroc,all_auroc,threshold,test_acceptance_rate,near_acceptance_rate,far_acceptance_rate
msp,0.8194317500000001,0.9020732499999999,0.8607524999999999,0.14972440898418427,0.947,0.71875,0.57125
mls,0.7961823124999999,0.90499875,0.8505905312500001,-5.890665531158447,0.9499,0.69375,0.4625
energy,0.7960444375,0.9057999375,0.8509221875,-6.072751045227051,0.9503,0.69375,0.4525
mahalanobis,0.8074284375,0.9198577500000001,0.8636430937499999,3062.9658203125,0.9468,0.70875,0.49625
