method,photo_val_acc,photo_val_f1,art_painting_val_acc,art_painting_val_f1,cartoon_val_acc,cartoon_val_f1,mean_source_acc,mean_source_f1,target_acc,target_f1,domain_separability
dann_stabilized,0.9759759902954102,0.9713621012134637,0.9414634108543396,0.9341753037451639,0.9530916810035706,0.95365262049367,0.9568436940511068,0.9530633418174325,0.6429116725921631,0.6729942945515294,0.9972527472527473
cdan_stabilized,0.9789789915084839,0.9754893206574964,0.9512194991111755,0.9488482753115519,0.94669508934021,0.9506580178067685,0.9589645266532898,0.9583318712586056,0.32476457953453064,0.2356965368137637,1.0
dann_stabilized_highlr,0.9639639854431152,0.9568467224888569,0.9414634108543396,0.9364408930673792,0.9573560953140259,0.9603474002631204,0.9542611638704935,0.9512116719397855,0.5500127077102661,0.49064492653421315,0.9917582417582418
cdan_stabilized_highlr,0.9699699878692627,0.9645319215762518,0.9097561240196228,0.9023641217347084,0.9552238583564758,0.9547772455535046,0.9449833234151205,0.9405577629548216,0.6861796975135803,0.6963444622880184,0.9958791208791209
