epoch,cls_loss,domain_loss,domain_acc,mean_val_f1
0,0.508956723822615,0.6632786902606996,0.817930930827418,0.9092608154479392
1,0.17655503971136025,0.6624030819815449,0.7070869133513198,0.9234819554333494
2,0.13196810459196726,0.7111338896629138,0.3461538574252373,0.9427907496067084
3,0.08511865774814326,0.6969680088198084,0.4646545672773296,0.9437315322760741
4,0.06375889072619935,0.6990067067309322,0.3989494408552463,0.9414661866785049
5,0.04216439274284475,0.6968017819090786,0.4449786436863435,0.9478305030955575
6,0.03756668055801004,0.6906201233211745,0.5421118414045399,0.9530633418174325
7,0.027686821839693933,0.6917275781305428,0.5434473103437668,0.9315555955813077
8,0.023883252629928346,0.6955057754475846,0.465099730871172,0.9506280929805101
9,0.02661392071687283,0.6952441184439211,0.48406340423812216,0.940471102594346
10,0.01946160448937334,0.6951692234247159,0.4654558534041429,0.9281336735720834
11,0.01776295350224735,0.6936020767077421,0.5105057144776369,0.9480540464549151
