epoch,cls_loss,domain_loss,domain_acc,mean_val_f1
0,0.518105807996745,0.5986500817995805,0.8161503043439653,0.8369616886320758
1,0.26278894424884236,0.7131928386341813,0.522346881337655,0.9017511585199909
2,0.19343199046989346,0.668504778518636,0.5715812128833216,0.932643187116429
3,0.11767396604235315,0.6966675184985511,0.5459401866691744,0.8899702428661525
4,0.12323027469516776,0.7006419690755697,0.530448733868762,0.853680759302739
5,0.1297248563506346,0.724091103953174,0.4821937466915856,0.9115782725434505
6,0.10227254438679012,0.7054081327385373,0.5198540039296843,0.9281674370863838
7,0.07665865294328462,0.7110761378565406,0.5222578514844943,0.9405577629548216
8,0.07859108957779978,0.7107840868142935,0.479700871448741,0.9345369364841116
9,0.05480342773655379,0.6925122564674443,0.5279558565244715,0.9262986860156835
10,0.07491330675308831,0.7098824249373542,0.49109688146501523,0.9295630869564832
11,0.06424906496135335,0.7004343271255493,0.5216346314956999,0.9158605724405379
12,0.07523016829633275,0.6845814132282877,0.5831552863630474,0.9219612989065255
