epoch,cls_loss,domain_loss,domain_acc,mean_val_f1
0,0.5205080389944662,0.6500799974315187,0.7748397632032378,0.8927124791126099
1,0.2267934657418384,0.714013581092541,0.40313391489350897,0.9219055469208026
2,0.1756217583056746,0.694676528374354,0.4839743750217633,0.91083483003856
3,0.12648617652713512,0.6948715998576238,0.4813924647676639,0.9306034209843176
4,0.08975744987874039,0.6941103560802264,0.4918981644714999,0.9377537604799216
5,0.07711030741690911,0.6994911786328014,0.4513889015612439,0.9215005046716408
6,0.0855120752342054,0.6994510300648518,0.4307336308635198,0.9223736226640668
7,0.06618367363666443,0.6977219438960409,0.457977220033988,0.9314017194405251
8,0.06019782126099732,0.6940227349599203,0.5038283625856425,0.9251149864507203
9,0.04856777967461239,0.6935371552777087,0.5129985920129678,0.9512116719397855
10,0.061545207791465904,0.6999654229889568,0.4253027190127943,0.9283243429354434
11,0.061829737479803415,0.6963399190169114,0.46216169356280923,0.9262091848834307
12,0.051266791664285584,0.6937249980421147,0.496082635389434,0.9223143552659637
13,0.052362058851787636,0.6956684688727061,0.48673434377226055,0.9340013789879285
14,0.04013195590711903,0.6963065093399113,0.47355770784565526,0.9176192534087012
