epoch,cls_loss,domain_loss,domain_acc,mean_val_f1
0,0.5195261596614479,0.6516268818806379,0.8717948925546092,0.9202731845439868
1,0.1735738498620434,0.6354085395478795,0.7501780816123017,0.9195048865025943
2,0.12917878683636555,0.6939668344636248,0.523148162688455,0.9314095524539722
3,0.084397191441599,0.7106630086389363,0.4323361942019218,0.9119728923244256
4,0.07463769340473744,0.6589723751585708,0.6402243775689703,0.9302588618838851
5,0.05612347506249558,0.7061545736769326,0.4268162526890763,0.918352209985132
6,0.05457477799617252,0.7197089842242054,0.4705306399199698,0.9415074604457425
7,0.050539658985921686,0.7069291579417694,0.4887820660558521,0.9259898078898393
8,0.039847944172196684,0.6957166184726943,0.5491453156384647,0.951435562928415
9,0.03597867067706736,0.6925514488138704,0.5289352005108808,0.9583318712586056
10,0.027362028321128967,0.6838702093332242,0.5469195314834261,0.9209780158632492
11,0.03158853739050678,0.7125664653941097,0.44845086769161063,0.9497457548504236
12,0.030256980858550192,0.7070226717708458,0.4536146857799628,0.9289926567806823
13,0.03412047598317841,0.7038270347138755,0.4399928907171274,0.9392733146820501
14,0.034166059077619076,0.6953945317838945,0.5372151138945522,0.9406536065175986
