,dog,elephant,giraffe,guitar,horse,house,person
dog,456,25,11,0,47,75,158
elephant,154,349,0,0,2,78,157
giraffe,74,13,441,1,83,80,61
guitar,3,0,1,539,0,51,14
horse,69,36,19,0,550,95,47
house,0,0,0,0,0,80,0
person,0,0,0,0,0,137,23
