epoch,cls_loss,mmd_loss,mean_val_f1
0,0.486903502796896,0.22163151675819331,0.8546788994983228
1,0.21786354073028788,0.19005646053542438,0.9088332767763685
2,0.15374831824452004,0.17995021485874796,0.93208581368444
3,0.16751981132542396,0.17625998533689058,0.9105920503223345
4,0.10649444856922217,0.16720689667595756,0.9194217008072795
5,0.09400414092352805,0.16145333978864881,0.8849157629619699
6,0.0880866477782858,0.1588530020836072,0.9331581364713591
7,0.06757270365928073,0.15654130063505253,0.9454659477009684
8,0.0612974780213444,0.16143594847785103,0.9316713196912835
9,0.04541500001788437,0.15565099879207775,0.8908821762264839
10,0.08006098413074157,0.14617863271990392,0.9375057524127635
11,0.053066491015405885,0.15366216704376742,0.9313662231612975
12,0.060585435589578435,0.15983901523117328,0.938558718468907
