epoch,cls_loss,domain_loss,domain_acc,mean_val_f1
0,0.5088310528180411,0.6632611084188151,0.8189102753869488,0.9044758122089328
1,0.17966253853514472,0.6610333784523174,0.7037037222558616,0.9116587818656255
2,0.1324845718167141,0.7111883512419513,0.3491809208933105,0.9408629101300637
3,0.07781274771043219,0.6956662110283843,0.4847756480304604,0.9470079243274784
4,0.061827008288580544,0.7013623923317999,0.3844373322322837,0.9446699748866466
5,0.04244605732324439,0.695403914930474,0.4745370518957448,0.9289859163578921
6,0.04068329792755679,0.6906256701192285,0.5513711020223095,0.9553344501919298
7,0.034050538318522616,0.691844169400696,0.5330306441865416,0.9468722774242057
8,0.026284753625637116,0.6928596606111934,0.500534202489588,0.951860206008595
9,0.022227765309035644,0.6984759592092954,0.4343839148298288,0.9388063685364353
10,0.02904391493022061,0.6915651975024459,0.535790616248408,0.947764158481478
11,0.020929939584520125,0.6945717900227277,0.47106482814519834,0.9489494021447157
