lambda_mmd,mean_source_acc,target_acc,domain_separability
0.1,0.9465979735056559,0.7660982608795166,0.9862637362637363
1.0,0.9468057751655579,0.6614914536476135,0.8818681318681318
10.0,0.8833852807680765,0.6543650031089783,0.875
