method,photo_val_acc,photo_val_f1,art_painting_val_acc,art_painting_val_f1,cartoon_val_acc,cartoon_val_f1,mean_source_acc,mean_source_f1,target_acc,target_f1,domain_separability,target_acc_change
source_only,0.966966986656189,0.9622466863707917,0.9195122122764587,0.9177446783444486,0.9573560953140259,0.9608863019953653,0.9479450980822245,0.9469592222368686,0.7317383289337158,0.7366751810238161,0.9958791208791209,0.0
dan,0.9819819927215576,0.9781274164156827,0.9195122122764587,0.9137969903680536,0.9488272666931152,0.953473539596015,0.9501071572303772,0.9484659821265837,0.6080427765846252,0.5568390169759981,0.8681318681318682,-0.12369555234909058
dann,0.9729729890823364,0.9677843591661702,0.9487804770469666,0.9477925200089513,0.9445629119873047,0.9504264714006677,0.9554387927055359,0.9553344501919298,0.7154492139816284,0.7378065449485732,0.9986263736263736,-0.016289114952087402
cdan,0.9759759902954102,0.9714387024088257,0.9073171019554138,0.8996369022709879,0.9552238583564758,0.9525681236265392,0.9461723168691,0.9412145761021176,0.27589717507362366,0.2506250062788096,0.9945054945054945,-0.45584115386009216
