epoch,cls_loss,mmd_loss,mean_val_f1
0,0.8994028676524122,0.20733364270283625,0.6419165751326553
1,0.7442101276455781,0.1845432840860807,0.8112470108563534
2,0.6552501555818778,0.17460676085235727,0.750269226252386
3,0.45333573226538354,0.16898696799563545,0.836729188887539
4,0.4924383672893557,0.17610371010935205,0.8345249581053816
5,0.38572421136638546,0.15700835448044997,0.839722377980733
6,0.417880079907994,0.15445930224198562,0.8621766967090864
7,0.3164703522482489,0.1510732866759993,0.8492257244238335
8,0.3728104536700198,0.15805368647616133,0.8786968526068337
9,0.3781671042784921,0.1460279858010447,0.8256547322470777
10,0.4468937819170901,0.15877024077961588,0.8381116048344595
11,0.39634707065410596,0.15702104874146292,0.8515906662532271
12,0.4161240781665358,0.1673034918613923,0.8598181453425103
13,0.35948397604446125,0.1363170890726595,0.8283092276636821
