epoch,cls_loss,domain_loss,domain_acc,mean_val_f1
0,0.5049691593003833,0.6068132794820346,0.7956730970460125,0.864271436536904
1,0.24221589508203742,0.70061712896722,0.544070528422156,0.911616219863911
2,0.18432668639788738,0.6983493008674719,0.5560007282556632,0.9089632977466603
3,0.14552556371821776,0.6785296866526971,0.5904558592627192,0.9260689310214829
4,0.11458686929680935,0.7218973662099267,0.5049857704812645,0.9025285636198861
5,0.11122828442970258,0.7085153648995945,0.4998219516924304,0.8927467283010101
6,0.10416776128187895,0.715970011603119,0.48798078445033133,0.895706428542525
7,0.08264701105034832,0.7102148614378057,0.4822827774999488,0.9398471731595756
8,0.06662721022871859,0.6923667526143229,0.5364138318432702,0.9225359075406336
9,0.09131150890521102,0.7090200241814312,0.5218126920298634,0.9175660095471271
10,0.07389243597171483,0.7000967661539713,0.4900285050782383,0.9182239373027333
11,0.055898005128924566,0.708740263667881,0.4849537181803304,0.9412145761021176
12,0.06795959317761062,0.6923682271924794,0.5445156829097332,0.9049817425397221
13,0.0632452442492634,0.7091860063055642,0.4660790742207796,0.9141809820174901
14,0.06018322447521236,0.6985295297753098,0.5148682486043017,0.9199917378144931
15,0.05399292407937401,0.6859887247411613,0.5672186789476973,0.9180961929677866
16,0.05406590354398819,0.7092931283335401,0.4626958817880378,0.9261294864745294
