,dog,elephant,giraffe,guitar,horse,house,person
dog,347,132,27,0,137,0,129
elephant,46,641,0,0,17,0,36
giraffe,56,39,489,1,96,1,71
guitar,0,58,32,496,1,0,21
horse,98,98,27,1,548,2,42
house,1,0,0,0,0,61,18
person,8,12,11,0,1,0,128
