,source_only,dan,dann,cdan,dan_delta,dann_delta,cdan_delta
dog,0.5336787700653076,0.5492228269577026,0.6398963928222656,1.0,0.01554405689239502,0.10621762275695801,0.4663212299346924
elephant,0.8945946097373962,0.5081080794334412,0.7432432174682617,0.0,-0.3864865303039551,-0.15135139226913452,-0.8945946097373962
giraffe,0.7025232315063477,0.6095617413520813,0.5192562937736511,0.102257639169693,-0.09296149015426636,-0.18326693773269653,-0.6002655923366547
guitar,0.9753289222717285,0.8881579041481018,0.8601973652839661,0.29111841320991516,-0.08717101812362671,-0.11513155698776245,-0.6842105090618134
horse,0.6053921580314636,0.5968137383460999,0.8688725233078003,0.01225490216165781,-0.00857841968536377,0.26348036527633667,-0.5931372558698058
house,0.7749999761581421,1.0,0.875,0.6000000238418579,0.2250000238418579,0.10000002384185791,-0.17499995231628418
person,0.768750011920929,0.14374999701976776,0.4625000059604645,0.0,-0.6250000149011612,-0.3062500059604645,-0.768750011920929
