epoch,cls_loss,mmd_loss,mean_val_f1
0,0.4814667558201995,0.22444416009462798,0.8806491349560499
1,0.2219234602844231,0.1887085111732157,0.9044225249489241
2,0.15773604831132942,0.17855331021496373,0.9130206337821526
3,0.14476664243843088,0.17316480783315805,0.9084670577915025
4,0.10962426786322911,0.16128241098844087,0.9160165914089674
5,0.09356575848238192,0.16444375372340536,0.9244370732578003
6,0.08293135065108272,0.16112515253898424,0.920228221409328
7,0.06965995198946534,0.1640880128257295,0.9414851412516244
8,0.06571000161852875,0.16083712964995295,0.9417943614703873
9,0.058884815459949204,0.1664929675240802,0.9241846565885559
10,0.07068778766265923,0.15344003123095912,0.9360227464251095
11,0.04880275452491426,0.15034423934088814,0.9372736440976664
12,0.037429036557401776,0.15662292537526187,0.9366379729398395
13,0.04132314752093648,0.15461057781154275,0.9176400474726324
