epoch,cls_loss,mean_val_f1
0,0.48370363991548365,0.8588208618751612
1,0.21045617478238976,0.8845315472971556
2,0.15385662344220674,0.917329420973776
3,0.10389003424251524,0.9141139103354741
4,0.0927580987416958,0.9331913015984578
5,0.07321604283390473,0.9298890598848898
6,0.07175066874013158,0.928915138046027
7,0.07810899970273669,0.9346671369850457
8,0.07074643027099073,0.9328322183380705
9,0.0523246253422386,0.9378161675134405
10,0.062313330366416855,0.9347214344371215
11,0.04417845136402351,0.9175444182842515
12,0.04638910532805747,0.9555880629743111
13,0.04633460983086091,0.9355929280997891
14,0.04218062210495587,0.9075493007598355
15,0.053110912784309496,0.9406216889648759
16,0.033776354266685814,0.9356395087568535
17,0.038972006347543914,0.9475954916492536
