,dog,elephant,giraffe,guitar,horse,house,person
dog,192,212,0,0,13,0,355
elephant,353,256,0,0,9,0,122
giraffe,91,124,0,0,18,0,520
guitar,95,208,0,0,34,0,271
horse,324,114,0,0,16,0,362
house,0,35,0,0,1,0,44
person,0,98,0,0,22,0,40
