method,accuracy,macro_f1,mean_confidence
resnet_head,0.986,0.9860378273121431,0.9453662633895874
vit_head,0.982,0.981950380332151,0.9738467335700989
clip_head,0.978,0.9779085110875568,0.6254117488861084
clip_zero_shot,0.976,0.9757884911483409,0.9482801556587219
