backbone,method,n_shape,n_texture,n_other,shape_bias_percent,coverage_percent
resnet,head,129,59,61,68.61702127659575,75.50200803212851
vit,head,173,35,41,83.17307692307692,83.53413654618474
clip,head,185,33,31,84.86238532110092,87.55020080321285
clip,zero_shot,175,37,37,82.54716981132076,85.14056224899599
