backbone,condition,accuracy,macro_f1,mean_confidence,consistency
resnet,eval_grayscale,0.968,0.9679979875538575,0.9419347047805786,0.974
resnet,eval_colorswap,0.986,0.9860378273121431,0.9449353814125061,1.0
vit,eval_grayscale,0.956,0.9558943218814037,0.9575866460800171,0.964
vit,eval_colorswap,0.978,0.9779622076285299,0.9712212085723877,0.992
clip,eval_grayscale,0.968,0.9679831207610556,0.5704678893089294,0.968
clip,eval_colorswap,0.98,0.9800269332806304,0.6169421672821045,0.99
